administer,supervise or be in charge of
administration,the act of governing or exercising authority
administrative,responsible for managing the affairs of a group of people
admit,declare to be true or accept the reality of
admonish,scold or reprimand; take to task
admonition,a firm rebuke
ado,a rapid active commotion
adolescent,a juvenile between the onset of puberty and maturity
adopt,take into one’s family
adopted,acquired as your own by free choice
adoption,proceeding creating a parent-child relation between persons
adorable,lovable especially in a childlike or naive way
adrenal,relating to the glands near the kidney or their secretions
adrenaline,a secretion in response to stress stimulating nerve action
adrift,afloat on the surface of a body of water
adroit,quick or skillful or adept in action or thought
adulation,exaggerated flattery or praise
adulatory,obsequiously complimentary
adult,a fully developed person from maturity onward
adulterate,make impure by adding a foreign or inferior substance
adumbrate,describe roughly or give the main points or summary of
advance,move forward
advantage,the quality of having a superior or more favorable position
advantageous,giving a benefit
advent,arrival that has been awaited
adventitious,associated by chance and not an integral part
adversary,someone who offers opposition
adverse,in an opposing direction
advert,a public promotion of some product or service
advertising,the business of drawing attention to goods and services
advocate,a person who pleads for a person cause or idea
advocate,speak plead or argue in favor of
aegis,armor plate that protects the chest
aerodynamic,of or relating to aerodynamics
aeronautics,the theory and practice of navigation through air or space
aerosol,a cloud of solid or liquid particles in a gas
aesthetic,characterized by an appreciation of beauty or good taste
affability,a disposition to be friendly and approachable
affable,diffusing warmth and friendliness
affair,a vaguely specified social event
affect,have an influence upon
affectation,a deliberate pretense or exaggerated display
affected,influenced
affecting,arousing emotion
affiliate,join in a social or business relationship
affiliation,the act of becoming formally connected or joined
affinity,a natural attraction or feeling of kinship
affirm,declare solemnly and formally as true
affirmative,giving assent
affirmative action,a policy designed to redress past discrimination
affirmatory,affirming or giving assent
afflatus,a strong creative impulse; divine inspiration
afflict,cause physical pain or suffering in
affliction,a cause of great suffering and distress
affluence,abundant wealth
affluent,having an abundant supply of money or possessions of value
afford,have the financial means to do something or buy something
afoul,especially of a ship’s lines etc
Africa,the second largest continent
Afro,a rounded thickly curled hairdo
after all,in spite of expectations
aftermath,the consequences of an event
afterwards,happening at a time subsequent to a reference time
again,anew
Agathis,kauri pine
age,how long something has existed
agency,the state of being in action or exerting power
agenda,a list of matters to be taken up as at a meeting
agent,a representative who acts on behalf of others
aggrandize,embellish; increase the scope power or importance of
aggravate,make worse
aggravating,making worse
aggregate,a sum total of many heterogeneous things taken together
aggregation,the act of gathering something together
aggression,a disposition to behave forcefully and energetically
aggressive,characteristic of an enemy or one eager to fight
aggressively,in an aggressive manner
aggrieve,cause to feel distress
aghast,struck with fear dread or consternation
agility,the gracefulness of a quick and nimble person or animal
agitated,physically disturbed or set in motion
agitprop,political propaganda communicated via art and literature
agnate,related on the father’s side
agnostic,a person who claims the existence of God is unknowable
ago,gone by; or in the past
agonizing,extremely painful
agony,intense feelings of suffering; acute mental or physical pain
agrarian,relating to rural matters
agree,consent or assent to a condition
agreement,harmony of people’s opinions actions or characters
agricultural,relating to or used in or promoting farming
aid,the activity of contributing to the fulfillment of a need
ailment,an often persistent bodily disorder or disease
air,a mixture of gases required for breathing
airborne,moved or conveyed by or through air
airbrush,an atomizer to spray paint by means of compressed air
airlift,transportation of people or goods by air
aisle,a long narrow passage (as in a cave or woods)
akimbo,with hands on hips and elbows extending outward
akin,related by blood
alacrity,liveliness and eagerness
albino,a person with white hair milky skin and pink eyes
albite,a widely distributed feldspar that forms rocks
alchemist,one who tried to change ordinary metals into gold
alchemy,a pseudoscientific forerunner of chemistry in medieval times
alcohol,a volatile compound made by distillation
ale,a general name for beer made with a top fermenting yeast
aleatory,dependent on chance
alfalfa,plant with trifoliate leaves mostly grown to feed livestock
alfresco,in the open air
alga,primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
algae,primitive chlorophyll-containing aquatic organisms
algebra,the mathematics of generalized arithmetical operations
algorithm,a precise rule specifying how to solve some problem
alias,a name that has been assumed temporarily
alibi,proof that someone accused of a crime could not have done it
alien,from another place or part of the world
alienate,arouse hostility or indifference in
alienating,causing hostility or loss of friendliness
alienation,causing to become unfriendly
align,place in a line or arrange so as to be parallel or straight
alkali,any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water
alkaline,relating to or containing an alkali
allay,lessen the intensity of or calm
allegation,a formal accusation against somebody
allege,report or maintain
alleged,doubtful or suspect
allegiance,the act of binding yourself to a course of action
allegory,a short moral story
allergic,characterized by a physical reaction to a food or substance
allergy,hypersensitive immunological reaction to some substance
alleviate,provide physical relief as from pain
alleviation,the act of reducing something unpleasant
alliance,the state of being confederated
allies,an coalition of nations joining to fight a common enemy
alligator,an amphibious reptile related to crocodiles
alliterate,use alliteration as a form of poetry
allocate,distribute according to a plan or set apart for a purpose
allocation,the act of distributing or apportioning according to a plan
allotted,given as a task
allow,make it possible for something to happen
allowance,the act of permitting
allowance,an amount granted as during a given period
alloy,a mixture containing two or more metallic elements
allude,make an indirect reference to
allure,the power to entice or attract
allusion,passing reference or indirect mention
alluvial,relating to deposits carried by rushing streams
ally,a friendly nation
alma mater,a school you graduated from
almanac,an annual publication arranged according to the calendar
almost,slightly short of or not quite accomplished; all but
alone,isolated from others
along,in line with a length or direction
aloof,remote in manner
alpha,the 1st letter of the Greek alphabet
already,prior to a specified or implied time
also,in addition
alter,cause to change; make different
altercation,a noisy quarrel
altered,changed in form or character without becoming something else
alternate,go back and forth
alternative,one of a number of things from which only one can be chosen
altitude,elevation above sea level or above the earth’s surface
alto,the lowest female singing voice
altogether,to a complete degree or to the full or entire extent
altruism,the quality of unselfish concern for the welfare of others
altruistic,showing unselfish concern for the welfare of others
aluminium,a silvery ductile metallic element found primarily in bauxite
aluminum,a silvery ductile metallic element
alumna,a woman who has received a degree from a school
alumnus,a person who has received a degree from a school
always,at all times; all the time and on every occasion
amalgam,a combination or blend of diverse things
amalgamate,bring or combine together or with something else
amass,collect or gather
amaze,affect with wonder
amazement,the feeling that accompanies something extremely surprising
amazon,a large strong and aggressive woman
amber,a hard yellowish to brownish translucent fossil resin
ambience,the atmosphere of an environment
ambiguity,unclearness by virtue of having more than one meaning
ambitious,having a strong desire for success or achievement
ambivalence,mixed feelings or emotions
ambivalent,uncertain or unable to decide about what course to follow
ambulance,a vehicle that takes people to and from hospitals
ambulatory,able to walk about
ambush,concealing yourself and lying in wait to attack by surprise
ameliorate,make better
amenable,disposed or willing to comply
amend,make revisions to
amend,make better
amendment,a statement that is added to a proposal or document
amenities,things that make you comfortable and at ease
amenity,pleasantness resulting from agreeable conditions
amiable,diffusing warmth and friendliness
amino,pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia
amino acid,organic compounds containing an amino group and acid group
amiss,in an improper or mistaken or unfortunate manner
amity,a state of friendship and cordiality
amnesty,a warrant granting release from punishment for an offense
amorous,inclined toward or displaying love
amorphous,having no definite form or distinct shape
amortize,liquidate gradually
amount,how much there is of something that you can quantify
amphetamine,a central nervous system stimulant that increases energy and decreases appetite; used to treat narcolepsy and some forms of depression
ample,more than enough in size or scope or capacity
amplifier,electronic equipment that increases strength of signals
amplify,increase the volume of
amplitude,greatness of magnitude
amuse,occupy in an agreeable entertaining or pleasant fashion
amusing,providing enjoyment; pleasantly entertaining
ana,a collection of anecdotes about a person or place
anabolic,of or related to the synthetic phase of metabolism
anachronism,locating something at a time when it couldn’t have existed
anaerobic,not using or dependent on oxygen
analgesic,capable of relieving pain
analogous,similar or equivalent in some respects
analogy,drawing a comparison in order to show a similarity
analysis,abstract separation of a whole into its constituent parts
analytic,using or skilled in using analysis
analytical,using or skilled in using reasoning
analyze,break down into components or essential features
anaphylaxis,hypersensitivity reaction to the ingestion or injection of a substance (a protein or drug) resulting from prior contact with a substance
anarchist,an advocate of the abolition of governments
anarchy,a state of lawlessness and disorder
anathema,a formal ecclesiastical curse accompanied by excommunication
anatomy,the study of the structure of animals
ancestor,someone from whom you are descended
ancestral,of or inherited from someone from whom you are descended
ancestry,the lineage of an individual
Anchorage,a city in south central Alaska
anchorage,place for vessels to anchor
ancient,belonging to times long past
ancillary,furnishing added support
anecdotal,based on stories rather than data or scientific observation
anecdote,short account of an incident
anemia,a deficiency of red blood cells
anemometer,a gauge for recording the speed and direction of wind
anemone,a marine polyp that resembles a flower
anesthesia,loss of bodily sensation
anesthetic,a drug that causes temporary loss of bodily sensations
anger,the state of being very annoyed
angiography,roentgenographic examination of blood vessels after injection of a radiopaque contrast medium; produces an angiogram
angler,a fisherman who uses a hook and line
anguish,extreme distress of body or mind
angular,having the shape of intersecting lines or planes
animalcule,microscopic organism such as an amoeba or paramecium
animate,make lively
animosity,a feeling of ill will arousing active hostility
animus,a feeling of ill will arousing active hostility
annex,attach to
annihilate,kill in large numbers
annotate,add explanatory notes to or supply with critical comments
annoyed,troubled persistently
annual,occurring every year
annul,cancel officially
annulment,an official or legal cancellation
anodyne,capable of relieving pain
anoint,administer an oil or ointment to often ceremonially
anole,small arboreal tropical American insectivorous lizards with the ability to change skin color
anomalous,deviating from the general or common order or type
anomaly,deviation from the normal or common order or form or rule
anomie,lack of moral standards in a society
anonymous,having no known name or identity or known source
Anopheles,malaria mosquitoes
another,any of various alternatives; some other
answer,a statement made to reply to a question or criticism
answerable,capable of being answered
answering,replying
antagonism,an actively expressed feeling of dislike and hostility
anteater,any of several tropical American mammals of the family Myrmecophagidae which lack teeth and feed on ants and termites
antebellum,belonging to a period before a war
antecedent,a preceding occurrence or cause or event
antedate,be earlier in time; go back further
antediluvian,of or relating to the period before the biblical flood
antelope,a graceful ruminant with long legs and horns directed upward
antenna,one of a pair of mobile appendages on the head of insects
anterior,of or near the head end or toward the front plane of a body
anthology,a collection of selected literary passages
anthropologist,a social scientist specializing in the study of humanity
anthropology,science of the origins and social relationships of humans
anthropomorphic,suggesting human features for animals or inanimate things
anti,not in favor of (an action or proposal etc.)
antibiotic,a substance used to kill microorganisms and cure infections
antibody,a protein that produces an immune response
antic,ludicrously odd
anticipate,regard something as probable or likely
anticipation,the act of predicting as by reasoning about the future
anticlimactic,coming after the climax especially of a dramatic or narrative plot
antifreeze,a liquid added to the water in a cooling system
antigen,any substance that stimulates an immune response in the body
antinomy,a contradiction between two equally reasonable statements
antipathy,a feeling of intense dislike
antipodal,the relation of opposition along a diameter
antipode,direct opposite
antipodes,any two places or regions on diametrically opposite sides of the Earth
antipsychotic,tranquilizer used to treat psychotic conditions when a calming effect is desired
antiquated,so extremely old as seeming to belong to an earlier period
antique,made in or typical of earlier times and valued for its age
antiquity,the historic period preceding the Middle Ages in Europe
antispasmodic,a drug used to relieve or prevent spasms
antithesis,exact opposite
antithetical,sharply contrasted in character or purpose
antitrust,of laws and regulations
antitrust law,law intended to promote free competition in the market place by outlawing monopolies
anxiety,a vague unpleasant emotion in anticipation of a misfortune
apart,separated or at a distance in place or position or time
apartheid,a social policy of racial segregation
apathy,an absence of emotion or enthusiasm
ape,any of various primates with short tails or no tail at all
aperiodic,not recurring at regular intervals
aperture,a natural opening in something
aphasia,inability to use language because of a brain lesion
aphorism,a short pithy instructive saying
apiece,to or from every one of two or more
aplomb,great coolness and composure under strain
apnea,temporary cessation of breathing especially while sleeping
apocalypse,a cosmic cataclysm in which God destroys the powers of evil
apocalyptic,of or relating to a catastrophe
apocryphal,being of questionable authenticity
apolitical,neutral with regards to government policy
apologist,a person who argues to defend some policy or institution
apoplexy,a loss of consciousness from the lack of oxygen in the brain
apostasy,rejecting your religious beliefs political party or cause
apostate,not faithful to religion or party or cause
apostle,an ardent early supporter of a cause or reform
apothecary,a health professional trained in the art of preparing drugs
apothegm,a short pithy instructive saying
apotheosis,model of excellence or perfection of a kind
apparatus,equipment designed to serve a specific function
apparel,clothing in general
apparent,clearly revealed to the mind or the senses or judgment
apparently,seemingly; as far as one can tell
appeal,earnest or urgent request
appear,come into sight or view
appearance,outward or visible aspect of a person or thing
appease,make peace with
appetite,a feeling of craving something
appetizer,a dish served before a meal or as the first course
applaud,clap one’s hands or shout to indicate approval
appliance,a device or tool that is very useful for a particular job
applicability,relevance by virtue of being relevant to the matter at hand
applicable,having relevance
application,the action of putting something into operation
apply,employ for a particular purpose
appoint,assign a duty responsibility or obligation to
apportion,distribute according to a plan or set apart for a special purpose
apposite,being of striking appropriateness and pertinence
appraiser,one who determines authenticity or who guarantees validity
appreciate,be fully aware of; realize fully
appreciation,understanding of the nature or meaning of something
apprehend,anticipate with dread or anxiety
apprehension,fearful expectation or anticipation
apprehensive,in fear or dread of possible evil or harm
apprentice,someone who works for an expert to learn a trade
apprise,inform somebody of something
approach,move towards
approbation,official acceptance or agreement
approbatory,expressing or manifesting praise or approval
appropriate,suitable for a particular person place or situation
appropriately,in an appropriate manner
appropriation,a deliberate act of acquisition often without permission
appropriator,someone who takes for his or her own use
approval,the formal act of giving agreement or permission
approve,judge to be right or commendable; think well of
approximate,not quite exact or correct
approximately,imprecise but fairly close to correct
approximation,a rough calculation of quantity or degree or worth
apt,being of striking pertinence
aptly,in a competent capable manner
aquarium,a tank or pool filled with water for keeping live fish
aquatic,operating or living or growing in water
aqueduct,a conduit that carries water over a valley
arable,capable of being farmed productively
arbiter,someone chosen to judge and decide a disputed issue
arbitrage,a hedged investment capturing slight differences in price
arbitrariness,the trait of acting unpredictably and from whim or caprice
arbitrary,based on or subject to individual discretion or preference
arbitration,giving authoritative judgment
arbitrator,someone chosen to judge and decide a disputed issue
arboreal,of or relating to or formed by trees
arc,a continuous portion of a circle
arcade,a structure composed of arches supported by columns
arcane,requiring secret or mysterious knowledge
arch,a curved masonry construction for spanning an opening
archaeological,related to or dealing with or devoted to archaeology
archaeologist,an anthropologist who studies prehistoric culture
archaeology,the branch of anthropology that studies prehistoric people
archaic,so extremely old as seeming to belong to an earlier period
archeology,the branch of anthropology that studies prehistoric people and their cultures
archetypal,of an original type after which other things are patterned
archetype,something that serves as a model
architect,someone who creates plans to be used in making something
architecture,the discipline dealing with the design of fine buildings
arctic,extremely cold
ardent,characterized by intense emotion
arduous,characterized by effort to the point of exhaustion
area,the extent of a two-dimensional surface within a boundary
argue,have a disagreement about something
argument,a dispute where there is strong disagreement
arid,lacking sufficient water or rainfall
arise,move upward
aristocracy,a privileged class holding hereditary titles
aristocratic,belonging to or characteristic of the nobility
arithmetic,mathematics dealing with numerical calculations
arithmetic mean,the sum of the values of a random variable divided by the number of values
arithmetic progression,(mathematics) a progression in which a constant is added to each term in order to obtain the next term
arm,a human limb
armed,characterized by having or bearing weapons
armed,having limbs
armistice,a state of peace agreed to between opponents
army,a permanent organization of a nation’s military land forces
aromatic,having a strong pleasant odor
around,in the area or vicinity
arouse,call forth as an emotion feeling or response
arrangement,an orderly grouping considered as a unit
arrant,complete and without qualification
array,an impressive display or assortment
array,an orderly grouping
arriviste,an ambitious social climber or status seeker
arrogant,having or showing feelings of unwarranted importance
arrogate,seize and take control without authority
arsenic,a very poisonous metallic element
artery,a blood vessel that carries blood from the heart to the body
artful,not straightforward or candid
arthritis,inflammation of a joint or joints
article,one of a class of artifacts
articulate,express or state clearly
articulateness,the quality of being facile in speech and writing
artifact,a man-made object
artifice,a deceptive maneuver especially to avoid capture
artificial,contrived by art rather than nature
artisan,a skilled worker who practices some trade or handicraft
artist,person whose creative work shows sensitivity and imagination
artistic,relating to the products of human creativity
artless,simple and natural; without cunning or deceit
arts,studies intended to provide general knowledge and skills
as such,with respect to its inherent nature
ascendancy,the state when one person or group has power over another
ascending,the act of changing location in an upward direction
ascertain,learn or discover with confidence
ascetic,someone who practices self denial as a spiritual discipline
ascribe,attribute or credit to
ascription,assigning to a cause or source
aseptic,free of pathological microorganisms
Asian,a native or inhabitant of Asia
askance,with suspicion or disapproval
aspect,a characteristic to be considered
asperity,harshness of manner
aspersion,a disparaging remark
asphyxiation,the condition of being deprived of oxygen
asphyxiator,a manually operated device for extinguishing small fires
aspirant,an ambitious young person
aspiration,a cherished desire
aspire,have an ambitious plan or a lofty goal
assailable,not defended or capable of being defended
assault,attack someone physically or emotionally
assay,a test of a substance to determine its components
assemble,create by putting components or members together
assembly line,mechanical system in a factory whereby an article is conveyed through sites at which successive operations are performed on it
assert,declare or affirm solemnly and formally as true
assertion,a declaration that is made emphatically
assess,estimate the nature quality ability or significance of
assessment,the act of judging a person or situation or event
asset,a useful or valuable quality
assiduous,marked by care and persistent effort
assiduously,with care and persistence
assign,select something or someone for a specific purpose
assignation,a secret rendezvous (especially between lovers)
assimilation,the process of absorbing one cultural group into another
assistance,the activity of contributing to the fulfillment of a need
associate,keep company with
associate,bring or come into action
association,a formal organization of people or groups of people
assuage,provide physical relief as from pain
assume,take to be the case or to be true
assumption,the act of taking something for granted
asteroid,a small celestial body composed of rock and metal
asthma,respiratory disorder characterized by wheezing
asthma attack,respiratory disorder characterized by wheezing
astonishing,so surprisingly impressive as to stun or overwhelm
astound,affect with wonder
astray,away from the right path or direction
astride,with one leg on each side
astringent,tending to draw together or constrict soft organic tissue
astronomer,a physicist who studies celestial bodies and the universe
astronomical,relating to the branch of physics studying celestial bodies
astronomy,the branch of physics that studies celestial bodies
astute,marked by practical hardheaded intelligence
asunder,into parts or pieces
asymmetry,a lack of balance or proportion among the parts of something
at fault,deserving blame
at stake,to be won or lost; at risk
Atlantic,the 2nd largest ocean
atmosphere,the envelope of gases surrounding any celestial body
atmospheric,relating to or located in the mass of air surrounding Earth
atom,the smallest component of an element
atomic,relating to the smallest component of an element
atone,turn away from sin or do penitence
atrabilious,irritable as if suffering from indigestion
atrophy,a decrease in size of an organ caused by disease or disuse
attack,an offensive against an enemy
attain,gain with effort
attainment,the act of achieving an aim
attempt,make an effort
attendant,a person who is present and participates in a meeting
attention,the act of concentrating on something
attenuate,become weaker in strength value or magnitude
attitude,a complex mental state involving beliefs and feelings
attorney,a professional person authorized to practice law
attract,exert a force on
attractive,pleasing to the eye or mind as through beauty or charm
attribute,a quality belonging to or characteristic of an entity
attribute,credit to
attribution,assigning to a cause or source
attrition,the act of rubbing together
atypical,not representative of a group class or type
auction,the public sale of something to the highest bidder
audacious,disposed to venture or take risks
audacity,aggressive boldness or unmitigated effrontery
audience,a gathering of spectators or listeners at a performance
audit,examine carefully for accuracy
augment,enlarge or increase
august,profoundly honored
Augustan,relating to or characteristic of the times of the Roman Emperor Augustus
aura,distinctive but intangible quality around a person or thing
aurora,bands of light caused by charged solar particles
auspicious,indicating favorable circumstances and good luck
austere,of a stern or strict bearing or demeanor
austerity,self-denial especially refraining from worldly pleasures
auteur,a filmmaker who has a personal style
authentic,not counterfeit or copied
authenticate,establish the undisputed credibility of something
authenticated,established as genuine
author,a person who writes professionally
authoritarian,characteristic of an absolute ruler or absolute rule
authoritative,of recognized power or excellence
authority,the power or right to give orders or make decisions
authorize,grant permission or clearance for
autistic,affected with an abnormal absorption with the self
autobiography,a book or account of your own life
autocracy,a theory favoring unlimited authority by an individual
autocrat,a cruel and oppressive dictator
autocratic,characteristic of an absolute ruler or absolute rule
automaker,a business engaged in the manufacture of automobiles
automate,operate or make run by machines rather than human action
automobile,a motor vehicle with four wheels
autonomous,existing as an independent entity
autonomy,political independence
auxiliary,furnishing added support
auxin,a plant hormone that promotes root formation and bud growth
avail,be of use to be useful to
availability,the quality of being at hand when needed
available,obtainable or accessible and ready for use or service
avalanche,a slide of large masses of snow ice and mud down a mountain
avarice,reprehensible acquisitiveness; insatiable desire for wealth
aver,declare or affirm solemnly and formally as true
average,the middle value of an ordered set of values
average,an intermediate scale value regarded as normal or usual
average out,amount to or come to an average without loss or gain
aversion,a feeling of intense dislike
avert,turn away or aside
avian,pertaining to or characteristic of birds
aviator,someone who operates an aircraft
avid,marked by active interest and enthusiasm
avidly,in a zealous manner
avoid,stay away from
avoidable,capable of being warded off
avoidance,deliberately avoiding
avow,declare or affirm solemnly and formally as true
avuncular,being or relating to an uncle
aware,having or showing knowledge or understanding or realization
awareness,state of elementary or undifferentiated consciousness
awash,covered with water
away,at a distance in space or time
awe,an overwhelming feeling of wonder or admiration
awful,exceptionally bad or displeasing
awkward,lacking grace or skill in manner or movement or performance
awry,turned or twisted to one side
axiom,a proposition that is not susceptible of proof or disproof
azure,of a deep somewhat purplish blue color
baboon,large terrestrial monkeys having doglike muzzles
Babylonian,an inhabitant of ancient Babylon
bacchanal,wild gathering involving excessive drinking and promiscuity
back,the posterior part of a human (or animal) body
backdrop,scenery hung at the rear of a stage
backed,having a back or backing usually of a specified type
backfire,a loud noise made by the explosion of fuel in an engine
background,the part of a scene behind objects in the front
backwater,a body of water that was created by a flood or tide
bacteria,single-celled organisms that can cause disease
bacterial,relating to single-celled microorganisms
bacterium,single-celled or noncellular organisms lacking chlorophyll
badger,sturdy carnivorous burrowing mammal with strong claws
baffled,perplexed by many conflicting situations or statements
bail,money forfeited if the accused fails to appear in court
bail out,remove from a boat by dipping and throwing over the side
bailiwick,one’s particular area of interest or branch of knowledge
balance,harmonious arrangement or relation of parts within a whole
balcony,a platform projecting from the wall of a building
bald,lacking hair on all or most of the scalp
balderdash,trivial nonsense
baldly,in a barefaced manner
baleful,threatening or foreshadowing evil or tragic developments
balk,refuse to comply
ballad,a narrative poem of popular origin
ballistic,of the motion of objects moving under their own momentum
balloon,small thin inflatable rubber bag with narrow neck
ballot,a document listing the alternatives that is used in voting
ballpark,a facility in which ball games are played
ballyhoo,blatant or sensational promotion
baloney,pretentious or silly talk or writing
Baltic Sea,a sea in northern Europe; stronghold of the Russian navy
bamboo,woody tropical grass having hollow woody stems
ban,prohibit especially by law or social pressure
banal,repeated too often; overfamiliar through overuse
banausic,(formal) ordinary and not refined
bandwagon,a large ornate wagon for carrying a musical band
bandy,discuss lightly
bane,something causing misery or death
baneful,deadly or sinister
bang,the swift release of a store of affective force
bank,financial institution that accepts deposits and lends money
bankrupt,financially ruined
bankruptcy,a legal process for a corporation declared to be insolvent
banquet,a ceremonial dinner party for many people
banter,light teasing repartee
baptism,a sacrament signifying spiritual cleansing and rebirth
bar,a rigid piece of metal or wood
barb,a point facing the main point making an arrowhead or spear
barbeque,a cookout in which food is cooked over an open fire
bard,a lyric poet
bare,lacking its natural or customary covering
barely,in a sparse or scanty way
bargain,an agreement between parties fixing obligations of each
bargaining,the negotiation of the terms of a transaction or agreement
barge,a flatbottom boat for carrying heavy loads
baritone,the second lowest adult male singing voice
bark,the sound made by a dog
barnacle,marine crustacean with feathery food-catching appendages
